Group Name~`,Group Type~`,Category~`,Mission~`,Keywords~`,Link~`
DePaul University NSSLHA Chapter~`,General Student Organization~`,"Academic & Pre-Professional, Community Service & Engagement~`","It is the mission of this organization to serve aspiring speech language pathologists and audiologists at the grad and undergrad levels at DePaul University. The organization follows all values of the Vincentian mission such as giving a voice to the voiceless, serving marginalized communities, and advocating for children and adults with disabilities in the communities of Chicago for the greater good. Through advocacy, education, community outreach, and social events we aim to inspire, empower, and support students in the field of communication sciences and disorders.~`","SLP, Speech Language~`",https://dehub.depaul.edu/preSLP/club_signup~`
DePaul University Pre-Law Club~`,General Student Organization~`,"Academic & Pre-Professional, Activist & Political~`","DPLC aims to educate and inform students on all aspects of selecting, applying to, and gaining admission to law school through events on topics ranging from LSAT preparation to mock law school classes by visiting professors.~`","Pre-Law, LSAT~`",https://dehub.depaul.edu/DPLC/club_signup~`
DePaul University's Dance Marathon - DemonTHON~`,General Student Organization~`,Community Service & Engagement~`,Our mission is to build a year-long fundraising effort that culminates in a Dance Marathon to honor the patients and families treated at Ann & Robert H. Lurie Children├óÔé¼Ôäós Hospital of Chicago and to celebrate the efforts of the DePaul University students that work to support these patients and families.~`,"Dance, Volunteer~`",https://dehub.depaul.edu/DemonTHON/club_signup~`
DePaul Urban Gardeners~`,General Student Organization~`,"Community Service & Engagement, Special Interest~`","The DePaul Urban Gardeners are on a mission to change the world! We are grateful to have a wonderful space to create community through the wonders of gardening. Teaching and learning happens at every meeting! We operate throughout the entire year, having parties, teaching gardening, building stuff, making art, making friendships, laughing, growing, and learning!!! We grow food for free! At DUG, we cultivate a community of care, peace, and love, while also eating delicious and nutritious fruits and vegetables! Every person, gardener or non gardener, has a place at DUG!~`","Gardening, sustainability~`",https://dehub.depaul.edu/DUG/club_signup~`
DePaul User Experience Association~`,General Student Organization~`,Academic & Pre-Professional~`,"The DePaul User Experience Association was founded to create a platform for User Experience Design students to collaborate, experiment, and develop their skills. While other CDM and STEM clubs at DePaul are inclusive, none specifically focus on the evolving field of User Experience Design. Our association unites not only UXD students but also those from related disciplines such as graphic design, information technology, computer science, and psychology. We provide opportunities for hands-on learning, fostering an environment where members can collaborate, network, and learn from industry professionals. Our goal is to strengthen the design community and provide a space for students to practice and grow their skills through real-world challenges and projects.~`","User Experience Design, UX/UI~`",https://dehub.depaul.edu/DUXA/club_signup~`
DePaul Women In Business~`,General Student Organization~`,Academic & Pre-Professional~`,"DePaul Women in Business is an undergraduate student organization at DePaul University with the mission to provide female commerce students with the resources, guidance and opportunities to foster their growth and development in the field of business. DePaul Women in Business hosts a variety of events with numerous companies throughout the academic year that explore different industries and provide invaluable networking opportunities to our members. These events include company presentations, corporate office visits, and professional development workshops.~`",Business~`,https://dehub.depaul.edu/DeWib/club_signup~`
DePaul Women's Club Lacrosse~`,Club Sports~`,Club Sports~`,"The DePaul Women's Club Lacrosse Team's mission is to create a tight-knit community of players who enjoy playing the game while helping each other improve their skills. The team promotes good sportsmanship, community, leadership, teamwork, integrity, and fun!~`",Lacrosse~`,https://dehub.depaul.edu/DePaulWLax/club_signup~`
DePaul Women's Club Soccer~`,Club Sports~`,Club Sports~`,"It is the mission of DePaul Women's Club Soccer to serve the student organizations of DePaul University through socially responsible leadership and Vincentian values. The purpose of DePaul Women's Club Soccer is to offer female students an opportunity to play competitive soccer, while having fun and being part of a team as well as, improve our skills and agility. We as DePaul Women's Club Soccer believe in human dignity and the power of community and teamwork.~`",Soccer~`,https://dehub.depaul.edu/DPWCS/club_signup~`
DePaul Women's Club Volleyball~`,Club Sports~`,Club Sports~`,"To give full-time DePaul students the opportunity to continue their volleyball careers into college at a fun, yet competitive level. We want to play volleyball at a high-paced competitive level, yet have time to focus on our academic and extracurricular success.~`",Volleyball~`,https://dehub.depaul.edu/DWVBC/club_signup~`
DePaul Womxn's Rugby Football Club~`,Club Sports~`,Club Sports~`,"The official name of this organization shall be DePaul Womxn’s Rugby Football Club. The purpose of the DePaul Womxn’s Rugby Football Club is to promote the sport of rugby through the DePaul community and surrounding area; to encourage fitness-oriented, healthy lifestyles for its members and to provide networking opportunities for those interested in the sport of rugby.~`","Rugby, Football~`",https://dehub.depaul.edu/DPWRFC/club_signup~`
DePaul YDSA~`,General Student Organization~`,Activist & Political~`,"Young Democratic Socialists of America is the youth and student section of the Democratic Socialists of America, and a national organization of recognized campus chapters and several hundred activists. We are students organizing in our universities, colleges, and high schools to fight for the immediate needs of workers and students while building our capacity to fight for more radical and structural changes.~`",Democratic~`,https://dehub.depaul.edu/DPUYDSA/club_signup~`
DeSplat~`,General Student Organization~`,Esports & Gaming~`,"Here at DeSplat, our mission is to create an inclusive gaming community that represents the Vincentian values!~`","Splatoon, Gaming~`",https://dehub.depaul.edu/DeSplat/club_signup~`
Directors For Actors~`,Departmental Student Organization~`,"Entertainment & Performance, Academic & Pre-Professional~`","The mission of this organization is to provide a collaborative space for film directors and actors. We seek to bring together members of DePaul’s School of Cinematic Arts and The Theatre School in order to facilitate community, creativity, and mutual understanding.~`","Cinema, Theatre, Film~`",https://dehub.depaul.edu/DFA/club_signup~`
Entertainment and Sports Law Society~`,Law Student Organization~`,Law~`,The Entertainment and Sports Law Society's provides a forum for law students interested in all aspects of entertainment and sports law.~`,"Entertainment Law, Sports Law~`",https://dehub.depaul.edu/ESLS/club_signup~`
Experimental Film Club~`,General Student Organization~`,"Cultural, Entertainment & Performance~`","Our mission is to foster a community of avant-garde filmmakers and to create a space where students can come together to workshop, critique, and develop ideas and concepts for non-traditional films. Our goal is to instigate collaboration between DePaul students while also creating opportunities to learn from each other and professionals.~`",Film~`,https://dehub.depaul.edu/expfilm/club_signup~`
Fighting Pretty at DePaul~`,General Student Organization~`,Community Service & Engagement~`,"It is our mission of this organization to help women battling all types of cancer feel strong and beautiful through fundraising, student support events, packing parties, and other events. We seek to involve the DePaul community through serving women in their fight with cancer. Fighting Pretty’s values aligns with DePaul’s values of public service, care for society’s most vulnerable, community collaboration.~`","Cancer, Volunteer~`",https://dehub.depaul.edu/FPDP/club_signup~`
First Gen DePaul~`,General Student Organization~`,Cultural~`,"It is the mission of the First Gen DePaul Student Organization to bring together a community of students who identify as first-generation college students at DePaul University and create spaces where students can develop connections with others who share this identity while cultivating strong leadership and future success amongst peers. We work to foster the value of shared experiences and consistently create a community of visibility and advocacy for students who have not had a clear path for themselves and little guidance on how to get through college and achieve their goals. Throughout this organization, we work to take away the feeling of having to understand the college process alone as we push first-generation students to feel empowered to ask for help in addition to the student organization's resources. We believe in resiliency, and Vincentian values including those of building community, and holistic development.~`",First generation~`,https://dehub.depaul.edu/FGDP/club_signup~`
First Generation Law Student Organization~`,Law Student Organization~`,Law~`,"First Generation Law Student Organization (First Gen) is committed to supporting academically, financially, and socially those who identify as first-generation law students and come from a low income or working-class background in reaching graduation and preparing for their careers.~`","First generation, Law~`",https://dehub.depaul.edu/FirstGen/club_signup~`
French Club~`,General Student Organization~`,"Community Service & Engagement, Special Interest~`","To celebrate and educate on the French language and culture. We seek to serve all francophiles at DePaul. We plan to facilitate student engagement with the purpose of increasing DePaul affinity. DePaul's values of commitment to building community and appreciation of diversity tie heavily to our organization's values of understanding, community, and diversity.~`",French~`,https://dehub.depaul.edu/frenchclub/club_signup~`
Fresh Eyes Radio~`,General Student Organization~`,"Cultural, Entertainment & Performance~`","Fresh Eyes is a DePaul entertainment organization involved with Fresh Eyes Radio, a show on Radio DePaul. The purpose of the radio show is to amplify and unite Muslim voices on campus through shared dialogue. The purpose of the organization is to expand beyond a simple radio show and allow for interactive events involving such discourse as well as other forms of communication through live show events, student art exhibitions, fashion displays, and storytelling. The aim of pushing beyond a radio show allows for Muslim students to express themselves and relate to one another through our unique yet shared experiences via all mediums of art and expression.
 It is the mission of this organization to serve the student organizations of DePaul University through socially responsible leadership and the Vincentian values. We seek to facilitate student involvement, student engagement, and leadership development with the purpose of increasing DePaul affinity. We believe in human dignity and the power of community.~`","Muslim, Radio~`",https://dehub.depaul.edu/FreshEyes/club_signup~`
Future Alumni Association~`,Departmental Student Organization~`,"Special Interest, Academic & Pre-Professional~`","Supported by the Office of Alumni Relations, the Future Alumni Association is a student-run organization that fosters Alumni connections, campus affinity, and philanthropy. We build upon DePaul traditions past and present, encouraging lifelong connections between students, alumni and DePaul.~`",Alumni Relations~`,https://dehub.depaul.edu/FAA/club_signup~`
Gamma Phi Omega International Sorority Inc.~`,Fraternity & Sorority Life~`,"Fraternity & Sorority Life, Cultural~`","We strive to unite sisters in the principles of achieving academic excellence, serving the communities in which we live and learn, preserving the sacred bond of sisterhood among women, and uplifting and advancing a cultural awareness among Latinos and those in our global communities.~`",Gamma Phi Omega~`,https://dehub.depaul.edu/gphio/home/~`
Global Medical Brigade DePaul Chapter~`,General Student Organization~`,"Academic & Pre-Professional, Community Service & Engagement~`","It is mission of this organization to serve the student organizations of the DePaul University through socially responsible leadership and the Vincentian values. We seek to Facilitate student involvement, student engagement, and leadership development with the purpose of increasing DePaul affinity. We believe in human dignity and the power of community.~`",Medical~`,https://dehub.depaul.edu/GMB/club_signup~`
Golden Apple Scholars-DePaul University~`,General Student Organization~`,"Academic & Pre-Professional, Community Service & Engagement~`","The mission of Golden Apple Scholars-DePaul University (GA-DePaul) is to support Golden Apple Scholars at DePaul University. We aim to create a strong community, help with academic, social, and financial needs, and maintain good communication with the Golden Apple Foundation. Our goal is to represent the Foundation positively, contribute to the local community, and prepare our members to become great educators for the future.~`","Education, Teaching~`",https://dehub.depaul.edu/GADePaul/club_signup~`
Hellenic Student Association~`,General Student Organization~`,"Cultural, Special Interest~`","The Hellenic Student Association serves as the DePaul Chapter of the National Hellenic Student Association (NHSA). HSA aspires to educate the DePaul community and the general public about the history, culture, language, and politics of Greece.~`","Greece, Hellenic~`",https://dehub.depaul.edu/HSA/club_signup~`
Hook and Needle Club~`,General Student Organization~`,"Community Service & Engagement, Special Interest~`","The mission of the Hook and Needle Club is to spread the benefits of hobbies including yarn through different yarn work activities, specifically crocheting and knitting. Through the practice of a common past time, the Hook and Needle club will attempt to spread inclusivity and a sense of community among its members and others. Due to the clubs’ central focusing of working with yarn, we hope to build passion, dedication, and creativity for the matter.~`","Crochet, Knitting~`",https://dehub.depaul.edu/HNC/club_signup~`
Ignite Dance Company~`,Club Sports~`,Club Sports~`,"Ignite Dance Company endeavors to foster an empowering community of collegiate dancers through holding weekly rehearsals and team hangouts, creating and performing self-choreographed pieces, and attending a dance convention and competition. These experiences are undertaken with the goal of creating a space for dancers to embody confidence inside and out.~`",Dance~`,https://dehub.depaul.edu/IDC/club_signup~`
Industrial Design DePaul~`,General Student Organization~`,"Academic & Pre-Professional, Special Interest~`","It is mission of this organization to facilitate an environment for learning about and partaking in industrial design. We must work together to create a fun and safe place to share ideas, build and learn.~`",Industrial design~`,https://dehub.depaul.edu/idsadepaul/club_signup~`
Intellectual Property Law Society~`,Law Student Organization~`,Law~`,"The Intellectual Property Law Society's (IPLS's) mission is to put DePaul students in touch with the IP legal community, through mentoring and hosting practicing IP professionals as speakers. The IPS also works closely with CIPLIT to offer DePaul students the chance to learn about the evolving and diverse legal landscape of IP and strives to provide practical opportunities for students within their chosen career field.~`",Intellectual Property Law~`,https://dehub.depaul.edu/IPLS/club_signup~`
InterChorus A Cappella~`,General Student Organization~`,Entertainment & Performance~`,To provide a familial space for members of the DePaul community to sing in a mixed a cappella group together.~`,"A cappella, Music~`",https://dehub.depaul.edu/InterChorus/club_signup~`
Interfraternity Council~`,Fraternity & Sorority Life~`,Fraternity & Sorority~`,"We, the Interfraternity Council, exist to promote the shared interests and values of our member fraternities: leadership, service, brotherhood, and scholarship. We believe in Fraternity and that the shared values of Fraternity drive the IFC to create better communities, better chapters, and better men. 
 We work to advance the academic mission of DePaul, to enable fraternal organizations to grow and thrive through collaboration and teamwork, to provide an outlet for self-governance and accountability, and to model and teach ethical leadership. In a spirit of mutual support and betterment, we, the men of the Interfraternity Council, pledge to elevate the Ritual and the values of the member organizations.~`",Interfraternity Council~`,https://dehub.depaul.edu/IFC/club_signup~`
International Law Society~`,Law Student Organization~`,Law~`,"The International Law Society (ILS) at DePaul University College of Law is dedicated to promoting the discipline of international law among students, fostering an inclusive and diverse community that values open dialogue on global legal issues. Our mission is to educate and engage students on the significance of international law in various domains, including addressing global challenges, safeguarding human rights, ensuring justice, and facilitating international cooperation. As champions of international law, we will not shy away from discussing tough issues, striving to deepen our understanding of how international law practically operates in the world. Aligned with DePaul's commitment to social justice and academic excellence, ILS provides a platform for students of all backgrounds to explore and contribute to the field of international law, advocating for a just and equitable world.~`",International Law~`,https://dehub.depaul.edu/ILS/club_signup~`
Japanese Media Appreciation Club~`,General Student Organization~`,Cultural~`,"The Japanese Media Appreciation Club (JMAC) is a non-profit DePaul University student organization dedicated to increasing the awareness and popularity of Japanese media in mediums such as, animation (“anime”), graphic novels (“manga”), live action productions, and Japanese pop culture.~`","Japanese, Anime, Manga~`",https://dehub.depaul.edu/JMAC/club_signup~`
KALAHI DePaul~`,General Student Organization~`,Cultural~`,It is the mission of this organization to serve as a safe and inclusive community within DePaul University for Filipinos and friends. We strive to educate DePaul students about the culture and history of the Philippines. We seek to establish a resource for students to come together and share their experiences with one another.~`,"Filipino, Phillipines~`",https://dehub.depaul.edu/kalahi/club_signup~`
Kappa Gamma Delta~`,General Student Organization~`,"Academic & Pre-Professional, Community Service & Engagement~`","The mission of KGD is to educate college students and to assist them in their own personal ambitions in the field of health care; to encourage development of leadership, communication skills, and maturity; to provide support academically, socially, and emotionally; to promote individuality, unity, and diversity.~`",Pre-health~`,https://dehub.depaul.edu/KGD/club_signup~`
Kehilla ◊ß◊î◊ô◊ú◊î~`,Religious & Spiritual~`,Religious & Spiritual~`,"Kehilla's mission is to support the heart and soul of Jewish students on campus, encourage values of the Torah that seek healing for the whole world and Vincentian values of recognizing dignity of all by building and nurturing a pluralistic community for Jewish worship/ritual, fellowship, dialogue, and sharing of tradition and culture.~`",Jewish~`,https://dehub.depaul.edu/Kehilla/club_signup~`
The MBA Association (Kellstadt Collective)~`,Graduation Student Organization~`,Graduate~`,"The Kellstadt Collective thrives on cultivating a dynamic community of forward-thinkers, innovators, and business leaders. we serve all Kellstadt graduate business students by fostering an inclusive environment of collaboration, professional growth, and shared success by leveraging the diverse talents and backgrounds of our members. we're dedicated to providing robust networking opportunities, enriching professional development experiences, and harnessing the collective spirit of DePaul University’s Kellstadt Graduate School of Business. Together, we're not just earning degrees; we're advancing careers, building lifelong relationships, and shaping the business leaders of tomorrow~`",Business~`,https://dehub.depaul.edu/TKC/club_signup~`
Kellstadt Women in Business~`,Graduation Student Organization~`,Graduate~`,"Our mission is to empower and support women pursuing careers in business through collaborative efforts, educational opportunities, and networking events. We strive to create a welcoming and inclusive environment for all members, where we work cohesively as one team to promote personal and professional growth.~`",Business~`,https://dehub.depaul.edu/KWIB/club_signup~`
Lambda Phi Epsilon~`,Fraternity & Sorority Life~`,"Fraternity & Sorority Life, Cultural~`",To guide men on a lifelong discovery of authenticity and personal growth.~`,Lambda Phi Epsilon~`,https://dehub.depaul.edu/LPhiE/club_signup~`
Lambda Pi Eta~`,Departmental Student Organization~`,"Honorary, Academic & Pre-Professional~`","LPH represents what Aristotle described in The Rhetoric as three ingredients of persuasion: logos (Lambda), meaning logic; pathos (Pi), relating to emotion; and ethos (Eta), defined as character credibility and ethics. Lambda Pi Eta recognizes, fosters, and rewards outstanding scholastic achievement while stimulating interest in the communication discipline.~`","Honorary, Aristotle~`",https://dehub.depaul.edu/LPH/club_signup~`
"Lambda Theta Alpha Latin Sorority, Incorporated~`",Fraternity & Sorority Life~`,Fraternity & Sorority Life~`,"The purpose of Lambda Theta Alpha shall be to provide a sisterhood based on unity, love, and respect in an effort to foster the development of strong leaders who will then provide and practice political, social and cultural activities. It shall also be the purpose of Lambda Theta Alpha to promote unity through charitable and educational programs, maintain a higher standard of learning and serve as a voice for all students.~`",Volunteer~`,https://dehub.depaul.edu/LTA/club_signup~`
Language and Travel Society~`,General Student Organization~`,"Academic & Pre-Professional, Cultural~`",Our mission is to facilitate language learning in a casual environment and promote responsible travel so that one may have more meaningful experiences abroad. Our main activity consists of bi-weekly language exchange meetings.~`,"Travel, Language~`",https://dehub.depaul.edu/LTS/club_signup~`
Law Students Supporting Neurodiversity~`,Law Student Organization~`,Law~`,"It is the mission of Law Students Supporting Neurodiversity (LSSN) to support and celebrate neurodiverse law students at DePaul University College of Law.
 We seek to facilitate student involvement and engagement, leadership development, advocacy alongside neurodiverse law students, and support students in combatting pervasive ableism in the legal field. We believe in human dignity and the power of community.~`","Nuerodiversity, Law~`",https://dehub.depaul.edu/LSSN/club_signup~`
Letters of Love~`,General Student Organization~`,Community Service & Engagement~`,Letters of Love provides support to children through volunteering and hand-made cards filled with love and kindness from a supportive community. We strive to build an interconnected community that will work to empower children.~`,Letters of Love~`,https://dehub.depaul.edu/LOL/club_signup~`
Mens Club Volleyball~`,Club Sports~`,Club Sports~`,Build new relationships with peers on and off the court.~`,Volleyball~`,https://dehub.depaul.edu/DPUMVB/club_signup~`
Mens Ultimate Frisbee Club~`,Club Sports~`,Club Sports~`,"DePaul Men's Ultimate Club (DUC) mission is to create a fun and competitive team-centered environment, where all players strive for the same goal: to improve and to compete at a high-level.~`",Ultimate Frisbee~`,https://dehub.depaul.edu/DUC/club_signup~`
Middle Eastern Women's Empowerment Club~`,General Student Organization~`,"Community Service & Engagement, Cultural~`","The mission of the Middle Eastern Girls Empowerment Club is to give Female Middle Eastern DePaul Students a community to become actively involved at DePaul University. To provide a location to foster leadership and growth through connecting, building bonds with one another, and through empowering one another.~`",Middle Eastern~`,https://dehub.depaul.edu/MEWE/club_signup~`
Middle-Eastern North African Law Student Association~`,Law Student Organization~`,Law~`,"The Middle Eastern and North African Law Students Association (MENALSA) strives to foster an empowering community for Middle Eastern and North African (MENA) students at DePaul Law. The MENA identity is inclusive of individuals from diverse backgrounds, representing various ancestries, religions, ethnicities, and identities. MENALSA works to expand MENA representation and develop MENA leadership at DePaul Law and in the larger legal community. MENALSA seeks to promote an understanding of MENA social, legal, and professional issues and to provide a forum for student mentorship by MENA legal professionals. MENALSA is committed to diversity, inclusion, and amplifying underrepresented voices on DePaul's campus and the greater Chicagoland.~`","Middle Eastern, North African~`",https://dehub.depaul.edu/MENALSA/club_signup~`
Mindfulness Club~`,General Student Organization~`,Special Interest~`,"The purpose of the organization is to supply the most comfortable space possible for students. Any and all people are welcome to join and attend. I believe mindfulness as a whole is very important to the human mind and I want to share that with other people, share it with students. Meditation is a step into mindfulness and allows us to be still in the midst of the world working around us. It allows us to create some space between us, and our thoughts letting us be at ease with them. I believe this is of great importance for working students and I want to offer a safe space for them. This club would consist of exploration of being mindful and how to practice it in everyday life, guided meditations by me or my online meditation teacher I use, and just providing a safe area to talk about feelings or emotions for anyone who needs a space to do so. This club would explore practices of Buddhism due to the teacher I use, but this club wouldn't be considered a religious one. Anyone can be a Buddha in their own life and ground themselves in the Earth we all live on. It does not need to be considered a Buddhist club, but a club for Buddha's. (I can also go into depth about what mediation and mindfulness truly are and the practices that help one reach awakening in one's own life when needed). This club will also be exploring Buddhist Psychology which is simply understanding how the mind works and how to deal with it, though acceptance of the everlasting truth of the world. Anyone is able to join this club and share their thoughts freely. It aligns with DePaul's mission and values because this can provide a community of students with a space to settle with outside worries and experiences in life outside of school to have space to succeed in classes and do what must be done.~`","Mindfulness, Budhist~`",https://dehub.depaul.edu/bemindful/club_signup~`
Movimiento Estudiantil de Solidaridad y Apoyo~`,General Student Organization~`,"Activist & Political, Cultural~`","It is the mission of MESA to answer the call of what must be done within not only the Latinx community of DePaul but also the greater Chicago area. Through facilitating events we will provide mental, social, academic, and professional resources while emphasizing our cultural ties.~`","MESA, Latinx~`",https://dehub.depaul.edu/MESA/club_signup~`
Multicultural Greek Council~`,Fraternity & Sorority Life~`,"Fraternity & Sorority Life, Cultural~`","In order to meet our needs, both individual and collectively, as well as voice our concerns, we recognize that there are certain areas of action and programming that can be best carried out by the joint efforts of our council’s organizations. The purpose of DePaul University’s Multicultural Greek Council shall be to serve as a governing body, to create and maintain high standards in the life of culturally-based Fraternities and Sororities by addressing, coordinating and developing strategic programming, to unify organizations involved in MGC, to promote higher education, to provide community services, to enhance leadership, and to serve as a liaison between MGC, the other Greek Councils, the university student body, and administration. With these efforts, we hope to improve campus life.~`",Multicultural Greek Council~`,https://dehub.depaul.edu/MGC/club_signup~`
Music Education at DePaul~`,General Student Organization~`,Academic & Pre-Professional~`,"The student organization, Music Education at DePaul, strives to provide its members with resources, networking, and skills to reach their highest potential as music educators, and to reach into the community and serve others with the gift of music and the compassion of a teacher.~`","Music education, Education, Music~`",https://dehub.depaul.edu/NAfME/club_signup~`
Muslim Law Student Association~`,Law Student Organization~`,Law~`,"It is the mission of the Muslim Law Student Association (“MLSA”) to promote, foster, and advance the interests and welfare of aspiring Muslim lawyers; to encourage the spirit, unity, and bond amongst all members; to sponsor events for area law students, professors and practitioners; to serve the community through service and involvement; and to strive to ensure an inclusive and equitable environment.~`","Muslim, Law~`",https://dehub.depaul.edu/MSA/club_signup~`
NABA INC.~`,General Student Organization~`,"Academic & Pre-Professional, Community Service & Engagement~`","Address the professional needs of its members and to build leaders that shape the future of the accounting and finance profession with an unfaltering commitment to inspire the same in their successors. The Association shall unite through membership accountants, finance and business-related professionals and students who have similar interests and ideals, are committed to professional and academic excellence, possess a sense of professional and civic responsibility, and are concerned with enhancing opportunities for minorities in the Accounting, Finance, and other business-related professions.~`","Accounting, Finance, Business~`",https://dehub.depaul.edu/NABA/club_signup~`
NAHJ DePaul~`,General Student Organization~`,"Academic & Pre-Professional, Cultural~`","NAHJ DePaul's mission is to equip Latino journalists and journalists of color with professional career skills. At NAHJ DePaul, our members connect with journalism students, media-related students, and working professionals to form meaningful relationships. The goal of our organization is to encourage Latino journalists and communicators to pursue careers in journalism.~`","Latino, Journalism~`",https://dehub.depaul.edu/NAHJDePaul/club_signup~`
National Pan-Hellenic Council~`,Fraternity & Sorority Life~`,"Fraternity & Sorority Life, Cultural~`","In order to meet our needs, both individual and collectively, as well as voice our concerns, we recognize that there are certain areas of action and programming that can be best carried out by 44the joint efforts of the National Pan-Hellenic Council. The purpose of DePaul University’s National Pan-Hellenic Council (NPHC) shall be to serve as a governing body, to create and maintain high standards in the life of ""Divine Nine""-based Fraternities and Sororities by addressing, coordinating and developing strategic programming, to unify member organizations involved in NPHC, to promote higher education, to provide service to communities, to enhance leadership, and to serve as a liaison between NPHC, the other Greek Councils, DePaul University student body, and university administration. With these efforts in mind, we aim to improve campus life.~`",National Pan-Hellenic Council~`,https://dehub.depaul.edu/NPHC/club_signup~`
Native American & Indigenous Student Association~`,General Student Organization~`,Cultural~`,To cultivate a safe space for Native American students to connect with one another as well as open up discussion among peers about Indigenous culture and identities.~`,"Native American, Indigenous~`",https://dehub.depaul.edu/NAISA/club_signup~`
Nu Rho Psi~`,Departmental Student Organization~`,Honorary~`,"The overall mission of Nu Rho Psi is to advance the discipline of neuroscience and encourage intellectual and social interaction between students, faculty, and professionals in neuroscience and related fields.~`","Neuroscience, Health, Science~`",https://dehub.depaul.edu/NRP/club_signup~`
OUTLaws~`,Law Student Organization~`,Law~`,To support the academic and social environment of LGTQIA+ law students at DePaul University College of Law.~`,"Queer, LGBTQ+, Law~`",https://dehub.depaul.edu/OUT/club_signup~`
Palestine Childrens Relief Fund Depaul~`,General Student Organization~`,Community Service & Engagement~`,"our mission is to provide medical and humanitarian relief collectively and individually to children throught the levant, regardless of their nationality or religion, while getting donations from the students and raising awareness.~`","Palestine, Humanitarian relief~`",https://dehub.depaul.edu/PCRF/club_signup~`
Panhellenic Council~`,Fraternity & Sorority Life~`,Fraterntiy & Sorority Life~`,"We, as Undergraduate Members of women's fraternities, stand for good scholarship, for guarding of good health, for maintenance of fine standards, and for serving, to the best of our ability, our college community. Cooperation for furthering fraternity life, in harmony with its best possibilities, is the ideal that shall guide our fraternity activities.
 We, as Fraternity Women, stand for service through the development of character inspired by the close contact and deep friendship of individual fraternity and Panhellenic life. The opportunity for wide and wise human service, through mutual respect and helpfulness, is the tenet by which we strive to live.~`",Panhellenic Council~`,https://depaulpanhel.squarespace.com/~`
Part-Time Law Student Organization~`,Law Student Organization~`,Law~`,To serve the part time law students of this organization at DePaul University through socially responsible leadership and the Vincentian values~`,"Part-time Law, Law~`",https://dehub.depaul.edu/parttimelawstudents/club_signup~`
Phi Alpha Delta~`,Law Student Organization~`,Law~`,"Phi Alpha Delta is the world's preeminent law fraternity because of our dedication to service: service to the student, the school, the profession, and the community.
 
 It is through devotion to the ideals of Integrity, Compassion, Courage, Professionalism, Service, Diversity, and Innovation that we better both our profession and our community. Through accepting our differences we become not just a law fraternity, but a family.~`",Law~`,https://dehub.depaul.edu/PAD/club_signup~`
Phi Alpha Delta Pre-Law Chapter~`,General Student Organization~`,Academic & Pre-Professional~`,"Phi Alpha Delta is the world’s preeminent law fraternity because of our dedication to service: service to the student, the school, the profession, and the community.
 It is through devotion to the ideals of compassion, courage, diversity, innovation, integrity, professionalism, and service that we better both our profession and our community. Through accepting our differences we become not just a law fraternity, but a family.
 
 Vision
 Phi Alpha Delta Law Fraternity, International strives to be the premier legal professional organization with a diverse membership that cultivates leaders and serves as a voice for the role of legal professionalism in our society.~`",Pre-Law~`,https://dehub.depaul.edu/DPUPAD/club_signup~`
Phi Gamma Delta~`,Fraternity & Sorority Life~`,Fraternity & Sorority Life~`,"Desire to unite uncommon men in bonds of sincere friendship, stimulate one another in the pursuit of knowledge and the elevated sentiments and noble principles, and to assist our fellow-men through unselfish service.~`",FIJI~`,https://dehub.depaul.edu/FIJI/club_signup~`
Phi Kappa Psi~`,Fraternity & Sorority Life~`,Fraternity & Sorority Life~`,"We the members of the Illinois Zeta chapter of Phi Kappa Psi strive to cultivate men that are courteous and cultured. We continue to enact and uphold a set of core values, including academics, integrity, and leadership. We do not discriminate any potential member on any grounds. We only assure that these men are willing to uphold and embody our beliefs and live out the Phi Kappa Creed to the best of our ability daily.~`",Phi Kappa Psi~`,https://dehub.depaul.edu/PhiPsi/club_signup~`
Phi Mu~`,Fraternity & Sorority Life~`,Fraternity & Sorority Life~`,"Founded in 1852, Phi Mu is a women’s organization which provides personal and academic development, service to others, commitment to excellence and lifelong friendship through a shared tradition. Phi Mu promotes vibrant living, encouraging members to achieve their personal best.~`",Phi Mu~`,https://dehub.depaul.edu/PhiMu/club_signup~`
Photography Club (Photography Hub)~`,General Student Organization~`,"Media & Publications, Special Interest~`","Our mission is to create a community of students, faculty and staff who are interested in photography at all levels. We aim to provide education and training in photography, share resources, and collaborate with each other, keeping with Vincentian values.~`",Photography~`,https://dehub.depaul.edu/PhotoHub/club_signup~`
Pi Kappa Phi~`,Fraternity & Sorority Life~`,Fraternity & Sorority Life~`,"Pi Kappa Phi was founded on the premise of creating leadership opportunities for our members. Our founders exemplified leadership in the classroom, on the athletic field, in campus politics and within the community of Charleston. Leadership is the very root of our organization, and it is the concept of leadership that shall guide us to our future.~`",Pi Kappa Phi~`,https://dehub.depaul.edu/feeds?type=club&type_id=54&tab=about~`
Pi Sigma Alpha - Political Science Honorary Society~`,Departmental~`,"Honorary, Academic & Pre-Professional~`","To recognize academic excellence by, and provide leadership opportunities for, undergraduate and graduate students in political science and related fields; to stimulate scholarship and interest in politics, government, and democracy; to encourage diversity, equity, and inclusion in the discipline; and to support curricular and extracurricular activities that promote dialogue and civic engagement.~`","Pi Sigma Alpha, Political Science~`",https://dehub.depaul.edu/PiSigmaAlpha1/club_signup~`
